Property URL,MLS ID,Property type,Number of days on Zillow,Property price (USD),Sold date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Image URL,Street address,City,Zip,State,Country,Latitude,Longitude,Project Type,Curb Appeal,Kitchen,Bathroom,Flooring,Yard,Pool,Walk in Closet,Primary Suite,Flow,Laundry Room,Patio,Energy Star Windows,Exterior Lighting,Ceiling Fan,Garage Storage,Front Porch,Hardwood Flooring,Full Bath Main Level,Energy Star Appliances,Walk In Pantry,Landscaping,Table Space in Kitchen
https://www.zillow.com/homedetails/375-Dahlia-Dr-Sonoma-CA-95476/15837884_zpid/,,Single Family,61,901000,########,1382,sqft,651.95,5850.11,sqft,2,2,https://photos.zillowstatic.com/fp/6047c94676e5f0359d31c0d0ee326176-p_e.jpg,375 Dahlia Dr,Sonoma,95476,CA,USA,38.26428,-122.493,Small Projects,9,7,5,4,6,1,8,5,8,-,-,-,-,-,-,-,-,-,-,-,-,-
https://www.zillow.com/homedetails/590-Andrieux-St-Sonoma-CA-95476/15770687_zpid/,,Single Family,62,966500,########,1248,sqft,774.44,6000,sqft,3,2,https://photos.zillowstatic.com/fp/1426cd406c4bf7ed369cbbf83acad922-p_e.jpg,590 Andrieux St,Sonoma,95476,CA,USA,38.28933,-122.471,Small Projects,8,6,4,10,2,1,6,2,9,-,-,-,-,-,-,-,-,-,-,-,-,-
https://www.zillow.com/homedetails/386-Oak-St-Sonoma-CA-95476/15797755_zpid/,,Single Family,62,799000,########,1327,sqft,602.11,8999.5,sqft,2,2,https://photos.zillowstatic.com/fp/ccf5116f59b15580a2061c8f718d0f73-p_e.jpg,386 Oak St,Sonoma,95476,CA,USA,38.29788,-122.484,Small Projects,1,3,1,7,3,1,2,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-
https://www.zillow.com/homedetails/18777-School-St-El-Verano-CA-95476/15798099_zpid/,,Single Family,62,660000,########,1367,sqft,482.81,5998.21,sqft,4,2,https://photos.zillowstatic.com/fp/d4e0bf65fde13d2e43efd39b6628d2e4-p_e.jpg,18777 School St,El Verano,95476,CA,USA,38.30464,-122.487,Small Projects,4,6,4,4,3,0,2,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-
https://www.zillow.com/homedetails/760-Bowen-Ct-El-Verano-CA-95433/15798199_zpid/,,Single Family,66,895000,########,1500,sqft,596.67,0.37,acres,3,2,https://photos.zillowstatic.com/fp/e0781dbcae4e3c25b4c3a0736c5f347c-p_e.jpg,760 Bowen Ct,El Verano,95433,CA,USA,38.30407,-122.492,Small Projects,8,9,3,2,4,0,1,6,9,-,-,-,-,-,-,-,-,-,-,-,-,-
https://www.zillow.com/homedetails/17200-Vailetti-Dr-Sonoma-CA-95476/15800209_zpid/,,Single Family,66,700000,########,1270,sqft,551.18,0.47,acres,3,2,,17200 Vailetti Dr,Sonoma,95476,CA,USA,38.32177,-122.493,Small Projects,8,1,3,7,4,1,2,7,7,-,-,-,-,-,-,-,-,-,-,-,-,-
https://www.zillow.com/homedetails/168-Blue-Wing-Dr-Sonoma-CA-95476/15819386_zpid/,,Condominium,66,642000,########,1146,sqft,560.21,1012,sqft,2,2,https://photos.zillowstatic.com/fp/1d409d25e821a03f545c688dd15123c8-p_e.jpg,168 Blue Wing Dr,Sonoma,95476,CA,USA,38.29849,-122.454,Small Projects,3,8,7,1,9,1,5,2,4,-,-,-,-,-,-,-,-,-,-,-,-,-
https://www.zillow.com/homedetails/18215-Mana-Way-Sonoma-CA-95476/15796966_zpid/,,Single Family,67,810000,########,1084,sqft,747.23,5702,sqft,3,2,https://photos.zillowstatic.com/fp/51862324fac61665822fe00c71503e51-p_e.jpg,18215 Mana Way,Sonoma,95476,CA,USA,38.3089,-122.491,Small Projects,1,3,9,3,2,0,5,4,2,-,-,-,-,-,-,-,-,-,-,-,-,-
https://www.zillow.com/homedetails/187-La-Mancha-Dr-Sonoma-CA-95476/15798030_zpid/,,Condominium,69,525000,########,841,sqft,624.26,1194,sqft,1,1,https://photos.zillowstatic.com/fp/7f783ffa71ba526ad458f5d098188d9f-p_e.jpg,187 La Mancha Dr,Sonoma,95476,CA,USA,38.29532,-122.479,Small Projects,2,7,7,4,1,1,7,9,1,-,-,-,-,-,-,-,-,-,-,-,-,-
https://www.zillow.com/homedetails/114-W-Agua-Caliente-Rd-Sonoma-CA-95476/15801902_zpid/,,Condominium,69,445000,########,1030,sqft,432.04,1,sqft,2,2,,114 W Agua Caliente Rd,Sonoma,95476,CA,USA,38.32455,-122.49,Small Projects,5,2,8,3,3,1,6,9,1,-,-,-,-,-,-,-,-,-,-,-,-,-
https://www.zillow.com/homedetails/355-W-Thomson-Ave-Sonoma-CA-95476/15801962_zpid/,,Condominium,70,515000,########,760,sqft,677.63,760,sqft,2,1,https://photos.zillowstatic.com/fp/af349daaf352cb112566a0ff5ebf2d79-p_e.jpg,355 W Thomson Ave,Sonoma,95476,CA,USA,38.30879,-122.485,Small Projects,2,7,3,5,3,1,5,7,5,-,-,-,-,-,-,-,-,-,-,-,-,-
https://www.zillow.com/homedetails/19361-Linden-St-Sonoma-CA-95476/15797867_zpid/,,Single Family,73,835000,########,2266,sqft,368.49,0.34,acres,4,3,,19361 Linden St,Sonoma,95476,CA,USA,38.29379,-122.485,Turn Key,6,8,8,8,6,1,9,5,5,-,-,-,-,-,-,-,-,-,-,-,-,-
https://www.zillow.com/homedetails/18755-School-St-El-Verano-CA-95433/15798100_zpid/,,Single Family,74,681000,########,1320,sqft,515.91,5662,sqft,3,2,,18755 School St,El Verano,95433,CA,USA,38.30479,-122.487,Small Projects,5,9,3,5,8,0,4,3,8,-,-,-,-,-,-,-,-,-,-,-,-,-
https://www.zillow.com/homedetails/18755-School-St-Sonoma-CA-95476/347364326_zpid/,,Single Family,74,681000,########,1320,sqft,515.91,5759,sqft,3,2,https://photos.zillowstatic.com/fp/cdcace951b8dc5613e1722d4f5ce6eb2-p_e.jpg,18755 School St,Sonoma,95476,CA,USA,38.30479,-122.487,Small Projects,5,10,2,9,8,1,3,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-
https://www.zillow.com/homedetails/11-S-Temelec-Cir-Sonoma-CA-95476/15838135_zpid/,,Single Family,75,570000,########,1040,sqft,548.08,3925,sqft,2,2,https://photos.zillowstatic.com/fp/93e2438973b2916a47f3470949dc803b-p_e.jpg,11 S Temelec Cir,Sonoma,95476,CA,USA,38.26453,-122.488,Small Projects,1,6,2,9,10,1,9,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-
https://www.zillow.com/homedetails/607-Oman-Springs-Cir-Sonoma-CA-95476/15801992_zpid/,,Condominium,76,595000,########,1830,sqft,325.14,5227,sqft,4,3,,607 Oman Springs Cir,Sonoma,95476,CA,USA,38.31464,-122.487,Big Project,6,3,3,2,8,1,4,1,6,-,-,-,-,-,-,-,-,-,-,-,-,-
https://www.zillow.com/homedetails/456-5th-St-W-Sonoma-CA-95476/15769823_zpid/,,Single Family,83,850000,5/7/2024,1046,sqft,812.62,6190,sqft,2,1,https://photos.zillowstatic.com/fp/854fa1a5a321d45949fb4761a45385c6-p_e.jpg,456 5th St W,Sonoma,95476,CA,USA,38.29367,-122.468,Small Projects,7,8,5,9,4,0,7,6,1,-,-,-,-,-,-,-,-,-,-,-,-,-
https://www.zillow.com/homedetails/1230-E-Napa-St-Sonoma-CA-95476/15828043_zpid/,,Single Family,84,800000,5/6/2024,891,sqft,897.87,0.34,acres,2,1,,1230 E Napa St,Sonoma,95476,CA,USA,38.28996,-122.435,Small Projects,8,3,6,3,4,1,4,8,8,-,-,-,-,-,-,-,-,-,-,-,-,-
https://www.zillow.com/homedetails/1218-Herbazal-St-Sonoma-CA-95476/15838133_zpid/,,Single Family,84,580000,5/6/2024,931,sqft,622.99,8459.35,sqft,2,2,https://photos.zillowstatic.com/fp/8f44bafb8adbc3403805dc018a0c79e2-p_e.jpg,1218 Herbazal St,Sonoma,95476,CA,USA,38.26458,-122.488,Small Projects,9,9,3,9,5,0,5,4,5,-,-,-,-,-,-,-,-,-,-,-,-,-
https://www.zillow.com/homedetails/779-W-Spain-St-Sonoma-CA-95476/15828819_zpid/,,Condominium,88,460000,5/2/2024,696,sqft,660.92,436,sqft,1,1,https://photos.zillowstatic.com/fp/e38d1073ec67549a071ee63d1c0b32d0-p_e.jpg,779 W Spain St,Sonoma,95476,CA,USA,38.29383,-122.472,Big Project,10,2,1,1,10,0,3,5,8,-,-,-,-,-,-,-,-,-,-,-,-,-
